Timestamp,still01-bf-pid.DV01-LIT4003-level => (Aggregate=TimeAverage2),still01-bf-pid.CV01-plp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.SP-pmp4000a.sp-% => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volumeflow => (Aggregate=TimeAverage2)
7/14/2025 2:10:24 PM,36.8626011668,49.018562,70.55,83.183771808
7/14/2025 2:10:29 PM,36.848206,48.990034,70.55,81.8844135504
7/14/2025 2:10:34 PM,36.848206,48.944928,70.55,81.20485336
7/14/2025 2:10:39 PM,36.848206,48.823678,70.55,82.8333028492
7/14/2025 2:10:44 PM,36.848206,48.894,70.55,83.0212749776
7/14/2025 2:10:49 PM,36.848206,48.816014,70.55,82.9213443344
7/14/2025 2:10:54 PM,36.848206,48.73402,70.55,82.5293118848
7/14/2025 2:10:59 PM,36.848206,48.865182,70.55,82.90147254
7/14/2025 2:11:04 PM,36.8164046008,48.745392,70.55,83.016446422
7/14/2025 2:11:09 PM,36.73709,48.790364,70.55,82.532131198
7/14/2025 2:11:14 PM,36.73709,48.69968,70.55,83.13039767
7/14/2025 2:11:19 PM,36.73709,48.716798,70.55,83.650422176
7/14/2025 2:11:24 PM,36.73709,48.73738,70.55,83.489625198
7/14/2025 2:11:29 PM,36.73709,48.724588,70.55,83.942741446
7/14/2025 2:11:34 PM,36.73709,48.64234,70.55,83.96281591
7/14/2025 2:11:39 PM,36.73709,48.55578,70.55,83.323804104
7/14/2025 2:11:44 PM,36.6929997352,48.66912,70.55,83.97061854
7/14/2025 2:11:49 PM,36.580963,48.72588,70.55,83.978903136
7/14/2025 2:11:54 PM,36.580963,48.839078,70.55,83.37258767
7/14/2025 2:11:59 PM,36.5580155176,48.82902,70.55,83.512811796
7/14/2025 2:12:04 PM,36.55491,48.920458,70.55,82.8589682904
7/14/2025 2:12:09 PM,36.5293876064,49.001506,70.55,82.5384858676
7/14/2025 2:12:14 PM,36.501694,48.769108,70.55,83.2405346
7/14/2025 2:12:19 PM,36.5048780464,48.843864,70.55,83.053122378
7/14/2025 2:12:24 PM,36.505318,48.8187,70.55,83.539967084
7/14/2025 2:12:29 PM,36.4419753376,48.904538,70.55,83.49456549
7/14/2025 2:12:34 PM,36.433075,48.77,70.55,83.1753065984
7/14/2025 2:12:39 PM,36.433075,48.975574,70.55,81.8938453232
7/14/2025 2:12:44 PM,36.433075,49.015182,70.55,82.94884226
7/14/2025 2:12:49 PM,36.3729291604,49.007512,70.55,83.1090756624
7/14/2025 2:12:54 PM,36.364384,48.890052,70.55,82.23287496
7/14/2025 2:12:59 PM,36.364384,48.79174,70.55,82.480977712
7/14/2025 2:13:04 PM,36.364384,48.746506,70.55,82.4603637208
7/14/2025 2:13:09 PM,36.364384,48.908118,70.55,82.7718403648
7/14/2025 2:13:14 PM,36.364384,48.807592,70.55,83.184888865
7/14/2025 2:13:19 PM,36.364384,48.804504,70.55,82.84951073
7/14/2025 2:13:24 PM,36.364384,48.9889,70.55,83.1608096
7/14/2025 2:13:29 PM,36.364384,48.848912,70.55,82.868849484
7/14/2025 2:13:34 PM,36.364384,48.821888,70.55,82.832634563
7/14/2025 2:13:39 PM,36.2847568616,48.58912,70.55,82.92708088
