Timestamp,doubler01_steam_pid.PV01-tit4101.temp-F => (Aggregate=TimeAverage2),doubler01_steam-pid.CV01-FCV4108.cmdpos-% => (Aggregate=TimeAverage2),doubler01--steam-pid.SP.temp-F => (Aggregate=TimeAverage2),doubler01-steam-pid.lit4104.level-% => (Aggregate=TimeAverage2)
7/14/2025 11:28:18 PM,189.85512,22,189.2,39.870630073
7/14/2025 11:28:23 PM,189.86797104,22,189.2,40.0113485466
7/14/2025 11:28:28 PM,189.86818,22,189.2,40.067628532
7/14/2025 11:28:33 PM,189.86818,21.853,189.2,40.0606598816
7/14/2025 11:28:38 PM,189.86818,21,189.2,39.9357773776
7/14/2025 11:28:43 PM,189.86818,21,189.2,39.999572375
7/14/2025 11:28:48 PM,189.855125776,21,189.2,40.020906647
7/14/2025 11:28:53 PM,189.8512,20.4566,189.2,39.9821692352
7/14/2025 11:28:58 PM,189.8512,20,189.2,39.9623888852
7/14/2025 11:29:03 PM,189.8512,20,189.2,39.8594615888
7/14/2025 11:29:08 PM,189.811736124,20,189.2,39.9007581852
7/14/2025 11:29:13 PM,189.735026096,19.8724,189.2,39.9091665232
7/14/2025 11:29:18 PM,189.72136,19,189.2,39.7999323228
7/14/2025 11:29:23 PM,189.72136,20.5528,189.2,39.8263218658
7/14/2025 11:29:28 PM,189.72136,22,189.2,39.8578340416
7/14/2025 11:29:33 PM,189.72136,22,189.2,40.0134262412
7/14/2025 11:29:38 PM,189.69566116,22,189.2,40.05448116
7/14/2025 11:29:43 PM,189.64372,22,189.2,40.1756062588
7/14/2025 11:29:48 PM,189.64372,21.2964,189.2,39.9740894052
7/14/2025 11:29:53 PM,189.644889136,21,189.2,39.811651008
7/14/2025 11:29:58 PM,189.65431,21,189.2,39.9855257404
7/14/2025 11:30:03 PM,189.65431,21,189.2,39.9181823826
7/14/2025 11:30:08 PM,189.65431,21,189.2,39.9679299948
7/14/2025 11:30:13 PM,189.65431,21,189.2,40.1112379956
7/14/2025 11:30:18 PM,189.65431,21,189.2,40.0599667676
7/14/2025 11:30:23 PM,189.65431,21,189.2,40.002845247
7/14/2025 11:30:28 PM,189.6658318,21,189.2,39.820390596
7/14/2025 11:30:33 PM,189.67096,21,189.2,39.7028738212
7/14/2025 11:30:38 PM,189.67096,20.464,189.2,39.9960579808
7/14/2025 11:30:43 PM,189.67096,19,189.2,40.0159357872
7/14/2025 11:30:48 PM,189.67096,19,189.2,39.997729483
7/14/2025 11:30:53 PM,189.67096,19,189.2,39.9548599696
7/14/2025 11:30:58 PM,189.67096,19,189.2,40.017129053
7/14/2025 11:31:03 PM,189.635081746,19,189.2,39.9926635852
7/14/2025 11:31:08 PM,189.59485,18.7572,189.2,40.072117323
7/14/2025 11:31:13 PM,189.59485,18,189.2,40.1127906736
7/14/2025 11:31:18 PM,189.59485,18,189.2,39.9470368578
7/14/2025 11:31:23 PM,189.59485,18,189.2,39.9347235008
7/14/2025 11:31:28 PM,189.59485,18,189.2,40.0132815324
7/14/2025 11:31:33 PM,189.59485,18,189.2,40.06744755
7/14/2025 11:31:38 PM,189.59485,18,189.2,40.08915855
7/14/2025 11:31:43 PM,189.59485,18,189.2,40.0377097544
7/14/2025 11:31:48 PM,189.59485,18,189.2,39.882863409
7/14/2025 11:31:53 PM,189.530155158,17.5806,189.2,39.916623868
7/14/2025 11:31:58 PM,189.44868,17,189.2,39.95772454
7/14/2025 11:32:03 PM,189.44868,17,189.2,40.0816184224
7/14/2025 11:32:08 PM,189.44868,17,189.2,40.1323521528
7/14/2025 11:32:13 PM,189.44868,17,189.2,40.087527886
7/14/2025 11:32:18 PM,189.44868,17,189.2,40.0027271124
7/14/2025 11:32:23 PM,189.44868,17,189.2,39.9242390264
7/14/2025 11:32:28 PM,189.44868,17,189.2,39.8434150802
7/14/2025 11:32:33 PM,189.44868,17,189.2,39.8079448608
7/14/2025 11:32:38 PM,189.44868,17,189.2,39.77469
7/14/2025 11:32:43 PM,189.44868,17,189.2,39.886557552
7/14/2025 11:32:48 PM,189.44868,17,189.2,40.20363
7/14/2025 11:32:53 PM,189.44868,17,189.2,40.20363
7/14/2025 11:32:58 PM,189.44868,17,189.2,40.088390172
7/14/2025 11:33:03 PM,189.44868,17,189.2,40.03401
7/14/2025 11:33:08 PM,189.44868,17,189.2,40.03401
