Timestamp,still01-steam-pid.SP => (Aggregate=TimeAverage2),still01-steam-pid.DV01_PIT4055 => (Aggregate=TimeAverage2),still01-steam-pid.PV01-TIT4016 => (Aggregate=TimeAverage2),still01-steam-pid.PV02-TIT4015 => (Aggregate=TimeAverage2),still01-steam-pid.PV03-TIT4009 => (Aggregate=TimeAverage2),still01-steam-pid.DV02-PIT4011 => (Aggregate=TimeAverage2),still01-steam-pid.DV03-PIT4017 => (Aggregate=TimeAverage2),still01-steam-pid.DV04-FIT4054 => (Aggregate=TimeAverage2),still01-steam-pid.DV05-LIT4019 => (Aggregate=TimeAverage2),still01-steam-pid.CV-FCV4054 => (Aggregate=TimeAverage2)
7/15/2025 1:21:35 AM,211.2,64.964806,211.47159,202.6678,198.60052,0.80134064,1.8691124,4972.022053,40.955899028,37
7/15/2025 1:21:37 AM,211.2,64.954155679,211.47159,202.6678,198.60052,0.80134064,1.8691124,4981.211277,41.1838334625,37
7/15/2025 1:21:39 AM,211.2,64.951584,211.47159,202.6678,198.585316005,0.80134064,1.8691124,4978.230328,41.293971556,37
7/15/2025 1:21:41 AM,211.2,64.98191318,211.47159,202.6678,198.56003,0.80134064,1.8691124,4956.7818415,41.242066981,37
7/15/2025 1:21:43 AM,211.2,64.984495245,211.47159,202.6678,198.56003,0.80134064,1.8691124,4935.328981,41.3314775855,37
7/15/2025 1:21:45 AM,211.2,65.01248098,211.47159,202.6678,198.56003,0.80134064,1.8691124,4937.508402,41.192236719,37
7/15/2025 1:21:47 AM,211.2,65.45913657,211.47159,202.6678,198.56003,0.80134064,1.8691124,4956.95271175,41.3507785605,37
7/15/2025 1:21:49 AM,211.2,66.30575862,211.3896585,202.6678,198.54594236,0.80134064,1.8565045792,5000.2255525,41.0838331235,37
7/15/2025 1:21:51 AM,211.2,66.5330391225,211.28952,202.6678,198.52216,0.795354966365,1.8540852,5050.17614845,40.77503956,37.867
7/15/2025 1:21:53 AM,211.2,68.912399664,211.28952,202.6678,198.52216,0.79391885,1.8540852,5139.276558,40.7497671435,38
7/15/2025 1:21:55 AM,211.2,70.119848896,211.28952,202.6678,198.52216,0.79391885,1.8540852,5238.818448,41.05989639,38
7/15/2025 1:21:57 AM,211.2,70.28674512,211.2563841,202.6678,198.512819695,0.79391885,1.8540852,5309.411461,41.1068591325,38
7/15/2025 1:21:59 AM,211.2,70.29014,211.21317,202.6678,198.503907685,0.79391885,1.8540852,5329.5000325,40.965625565,38
7/15/2025 1:22:01 AM,211.2,70.379115155,211.21397538,202.6678,198.50806472,0.79391885,1.8540852,5334.0466552,40.399720864,38
7/15/2025 1:22:03 AM,211.2,70.40227,211.21503,202.6678,198.4947,0.79391885,1.95017366,5334.59909915,40.341396145,38
7/15/2025 1:22:05 AM,211.2,70.40227,211.21503,202.6678,198.50125872,0.86924559137,1.9691612,5328.773625,40.413826,38
