Timestamp,still01-bf-pid.DV01-lit4003.level-% => (Aggregate=TimeAverage2),still01-bf-pid.CV01-pmp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volflow-gpm => (Aggregate=TimeAverage2),still01-bf-pid.SP.Spd-Hz => (Aggregate=TimeAverage2)
7/15/2025 12:43:13 AM,66.295555,45.23856,83.944482235,83.56562081
7/15/2025 12:43:15 AM,66.295555,45.27675,83.953384,82.624451955
7/15/2025 12:43:17 AM,66.295555,45.303955,83.046959136,82.913684225
7/15/2025 12:43:19 AM,66.295555,45.21,83.02467,82.89237917
7/15/2025 12:43:21 AM,66.295555,45.32022,83.02467,82.7240974
7/15/2025 12:43:23 AM,66.295555,45.36958,83.64744012,83.1823137
7/15/2025 12:43:25 AM,66.295555,45.34012,83.66538,83.03859705
7/15/2025 12:43:27 AM,66.295555,45.28968,83.42134968,82.93920163
7/15/2025 12:43:29 AM,66.295555,45.30009,83.41432,82.62966725
7/15/2025 12:43:31 AM,66.2976407675,45.35997,83.41432,82.644829075
7/15/2025 12:43:33 AM,66.29996,45.39024,82.829586676,83.138836221
7/15/2025 12:43:35 AM,66.29996,45.385,82.809006,83.466528492
7/15/2025 12:43:37 AM,66.29996,45.4199,82.27311162,82.848369287
7/15/2025 12:43:39 AM,66.28489495,45.41022,82.25511,83.6106772
7/15/2025 12:43:41 AM,66.26811,45.394905,82.25511,83.070822135
7/15/2025 12:43:43 AM,66.23027409,45.384895,83.12736201,83.36434793
7/15/2025 12:43:45 AM,66.188034,45.394425,83.15853,82.5728132125
7/15/2025 12:43:47 AM,66.145346792,45.34119,84.02162907,83.99864538
7/15/2025 12:43:49 AM,66.097595,45.32936,84.05247,82.792626675
7/15/2025 12:43:51 AM,66.097595,45.4112,84.05247,82.838714365
7/15/2025 12:43:53 AM,66.097595,45.305175,83.979295616,83.71161784
7/15/2025 12:43:55 AM,66.0872141625,45.30982,83.976326,82.76758836
7/15/2025 12:43:57 AM,66.07539,45.315375,83.92632344,83.489012845
7/15/2025 12:43:59 AM,66.07539,45.1424,83.92424,83.436605085
7/15/2025 12:44:01 AM,66.07539,45.211625,83.92424,82.46342204
7/15/2025 12:44:03 AM,66.07539,45.267625,83.907049648,83.52161432
7/15/2025 12:44:05 AM,66.07539,45.104775,83.906296,83.201890175
7/15/2025 12:44:07 AM,66.09728574,45.213575,82.68373596,82.7125238
7/15/2025 12:44:09 AM,66.12263,45.08368,82.628136,84.112588874
