Timestamp,still01-bf-pid.DV01-lit4003.level-% => (Aggregate=TimeAverage2),still01-bf-pid.CV01-pmp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volflow-gpm => (Aggregate=TimeAverage2),still01-bf-pid.SP.Spd-Hz => (Aggregate=TimeAverage2)
7/15/2025 12:00:54 AM,75.309395,43.809054,82.801746282,83.092042538
7/15/2025 12:00:59 AM,75.265293492,43.753524,83.055570192,83.5189532136
7/15/2025 12:01:04 AM,75.2352,43.788148,82.82632231,82.71654841
7/15/2025 12:01:09 AM,75.2352,43.816026,82.786275505,82.643728376
7/15/2025 12:01:14 AM,75.199440384,43.888616,83.515167808,83.1156997496
7/15/2025 12:01:19 AM,75.19014,43.89246,83.168360336,83.2118652556
7/15/2025 12:01:24 AM,75.19014,43.906536,82.723564016,83.089097846
7/15/2025 12:01:29 AM,75.19014,43.870758,83.048098568,82.8481583076
7/15/2025 12:01:34 AM,75.19014,43.941928,83.2207266688,82.798462116
7/15/2025 12:01:39 AM,75.19014,43.939508,83.457395584,83.206308972
7/15/2025 12:01:44 AM,75.134229948,43.858898,83.165616936,82.920292452
7/15/2025 12:01:49 AM,75.04656,43.84036,83.2585281472,82.736010966
7/15/2025 12:01:54 AM,75.04656,43.961052,82.8826373556,82.50460345
7/15/2025 12:01:59 AM,75.04656,43.917776,83.0927532,82.996370128
7/15/2025 12:02:04 AM,75.002177592,43.90572,83.058803736,82.950635658
7/15/2025 12:02:09 AM,75.001367604,43.8678,82.60471155,83.3530172324
7/15/2025 12:02:14 AM,74.96837642,43.99213,82.7905638996,82.7336768608
7/15/2025 12:02:19 AM,74.959465,43.87,82.8604217,82.824828882
7/15/2025 12:02:24 AM,74.9533831,44.0564,83.6638285248,82.949318547
7/15/2025 12:02:29 AM,74.94379,44.143918,83.33608472,82.7763564758
7/15/2025 12:02:34 AM,74.94379,44.22905,82.688324072,82.513394902
7/15/2025 12:02:39 AM,74.94379,44.265308,83.2380473216,83.287766352
7/15/2025 12:02:44 AM,74.9020116844,44.21026,83.208967632,82.99167771
7/15/2025 12:02:49 AM,74.835724,44.18528,83.408230044,82.804132496
7/15/2025 12:02:54 AM,74.835724,44.105616,83.399342175,82.978001341
7/15/2025 12:02:59 AM,74.7951029272,44.03002,84.104965,83.1121912972
7/15/2025 12:03:04 AM,74.777017654,44.017876,83.024844595,82.698097816
7/15/2025 12:03:09 AM,74.79418,44.032324,83.10323255,83.2160676888
7/15/2025 12:03:14 AM,74.79418,43.915696,83.7655602952,83.192579096
7/15/2025 12:03:19 AM,74.733755004,43.923974,83.6679680914,83.0625239672
7/15/2025 12:03:24 AM,74.73276,43.8559,83.923283155,83.056851885
7/15/2025 12:03:29 AM,74.73276,44.00216,83.8378621744,82.489013307
7/15/2025 12:03:34 AM,74.704699044,44.014016,83.883777448,83.174732826
7/15/2025 12:03:39 AM,74.659225,43.945902,82.74455542,82.477167156
7/15/2025 12:03:44 AM,74.659225,43.949964,82.3887838,82.923865736
7/15/2025 12:03:49 AM,74.659225,43.874,83.670760264,83.1301428158
7/15/2025 12:03:54 AM,74.6160203476,43.89,83.4069069296,82.73505105
7/15/2025 12:03:59 AM,74.6495478976,43.922024,82.9784173488,82.8888146072
7/15/2025 12:04:04 AM,74.65051,43.937968,83.6901406912,83.4199857416
7/15/2025 12:04:09 AM,74.628233438,43.948108,82.84653775,82.905569749
7/15/2025 12:04:14 AM,74.52522,43.887928,82.7817812764,82.848306102
7/15/2025 12:04:19 AM,74.52522,43.945924,82.4813757288,82.92561028
7/15/2025 12:04:24 AM,74.52522,43.98212,82.82164644,83.231497376
7/15/2025 12:04:29 AM,74.52522,44.043722,83.24016526,83.027291515
7/15/2025 12:04:34 AM,74.52522,44.0119,83.1767445,82.654649983
7/15/2025 12:04:39 AM,74.52522,44.005888,83.070057796,83.0127525
7/15/2025 12:04:44 AM,74.52522,44.102174,83.52128299,83.004454978
7/15/2025 12:04:49 AM,74.52522,44.067636,82.900024924,82.568946628
7/15/2025 12:04:54 AM,74.42906152,44.084536,82.876185872,83.10005366
7/15/2025 12:04:59 AM,74.388301216,44.060298,82.822150198,82.95516227
7/15/2025 12:05:04 AM,74.37889,44.090992,82.92944442,83.1102318824
7/15/2025 12:05:09 AM,74.37889,44.09123,83.557842954,83.1031499544
7/15/2025 12:05:14 AM,74.37889,44.036504,83.366643256,82.7975199512
7/15/2025 12:05:19 AM,74.37889,44.09047,82.8450595752,83.1722736304
7/15/2025 12:05:24 AM,74.37889,44.05048,82.954669926,82.809425492
7/15/2025 12:05:29 AM,74.37889,44.096544,83.422818048,82.861829914
7/15/2025 12:05:34 AM,74.274422178,44.048336,83.514450612,82.9446863912
7/15/2025 12:05:39 AM,74.242935,44.105988,83.190906282,83.009601674
7/15/2025 12:05:44 AM,74.242935,44.092732,82.6054424,83.094787691
7/15/2025 12:05:49 AM,74.242935,44.117066,82.6923526,83.059176224
7/15/2025 12:05:54 AM,74.242935,44.137854,83.353419075,83.1449486328
7/15/2025 12:05:59 AM,74.242935,44.15097,82.82390094,82.9689817832
7/15/2025 12:06:04 AM,74.242935,44.136532,83.356825262,82.600760122
7/15/2025 12:06:09 AM,74.242935,44.137696,83.469319384,83.016405268
7/15/2025 12:06:14 AM,74.242935,44.205628,83.3080999,83.2026305016
7/15/2025 12:06:19 AM,74.242935,44.047188,82.4960648,82.6222965604
7/15/2025 12:06:24 AM,74.242935,44.127104,82.564634288,82.94216464
7/15/2025 12:06:29 AM,74.242935,44.106308,82.86150432,82.7971331252
7/15/2025 12:06:34 AM,74.242935,44.148768,82.601601494,82.8596652596
7/15/2025 12:06:39 AM,74.242935,44.130594,83.14816302,83.1760101376
7/15/2025 12:06:44 AM,74.242935,44.173062,83.04576324,83.2121741996
7/15/2025 12:06:49 AM,74.242935,44.187608,83.307373142,83.148782013
7/15/2025 12:06:54 AM,74.242935,44.15221,82.555069498,83.102838636
7/15/2025 12:06:59 AM,74.242935,44.081472,83.511944784,83.164267261
7/15/2025 12:07:04 AM,74.242935,44.12265,83.037869858,82.747460965
7/15/2025 12:07:09 AM,74.242935,44.139024,83.4498310648,83.038235168
7/15/2025 12:07:14 AM,74.242935,44.133588,82.7834756712,82.88633926
7/15/2025 12:07:19 AM,74.242935,44.083972,82.675393648,82.946288014
7/15/2025 12:07:24 AM,74.242935,44.143736,83.031333566,82.95360632
7/15/2025 12:07:29 AM,74.242935,44.188904,83.21000353,83.137128812
7/15/2025 12:07:34 AM,74.242935,44.106444,82.913883667,83.55741725
7/15/2025 12:07:39 AM,74.242935,44.040284,82.56558189,82.8118886548
7/15/2025 12:07:44 AM,74.242935,44.136284,83.047273408,83.208392138
7/15/2025 12:07:49 AM,74.242935,44.110428,83.5576281524,83.35727388
7/15/2025 12:07:54 AM,74.242935,44.126086,83.49738917,82.964066625
7/15/2025 12:07:59 AM,74.242935,44.039946,83.302193,83.446392236
7/15/2025 12:08:04 AM,74.242935,44.077,82.872175786,82.908476976
7/15/2025 12:08:09 AM,74.242935,44.015864,82.91095142,82.800657378
7/15/2025 12:08:14 AM,74.242935,43.972526,82.6618590824,83.036925493
7/15/2025 12:08:19 AM,74.242935,44.060688,82.864364312,82.764707312
7/15/2025 12:08:24 AM,74.029000032,44.073356,83.4432908304,83.124385613
7/15/2025 12:08:29 AM,73.63239,44.162282,83.1875833476,82.235153626
7/15/2025 12:08:34 AM,73.63239,44.26966,83.034642622,83.242310242
7/15/2025 12:08:39 AM,73.63239,44.21476,83.002342706,82.962090674
7/15/2025 12:08:44 AM,73.63239,44.192142,83.068130562,82.8964458604
7/15/2025 12:08:49 AM,73.63239,44.22009,83.160134652,83.1924085632
7/15/2025 12:08:54 AM,73.60789527,44.30457,83.39518564,82.1950365844
7/15/2025 12:08:59 AM,73.5424908084,44.32632,83.5077971584,82.917975934
7/15/2025 12:09:04 AM,73.526474,44.236904,83.491399808,83.42068024
7/15/2025 12:09:09 AM,73.526474,44.164844,83.439126348,83.29329252
7/15/2025 12:09:14 AM,73.526474,44.213392,82.962085812,83.1255045236
7/15/2025 12:09:19 AM,73.526474,44.222796,83.430502812,83.3047088472
7/15/2025 12:09:24 AM,73.526474,44.216418,83.75253992,83.432187088
7/15/2025 12:09:29 AM,73.526474,44.185218,83.344473396,82.805283716
7/15/2025 12:09:34 AM,73.4203421024,44.32366,82.300615928,82.4332327268
7/15/2025 12:09:39 AM,73.38313,44.295628,83.25610844,82.8126534832
7/15/2025 12:09:44 AM,73.38313,44.333032,82.808464576,82.878296398
7/15/2025 12:09:49 AM,73.38313,44.261452,83.458801009,83.4240334312
7/15/2025 12:09:54 AM,73.38313,44.364148,81.988839172,83.183596912
7/15/2025 12:09:59 AM,73.38313,44.472192,82.209841844,82.657687622
7/15/2025 12:10:04 AM,73.31325052,44.456436,82.757793959,83.2092537756
7/15/2025 12:10:09 AM,73.28803,44.455138,82.765551968,82.927779744
7/15/2025 12:10:14 AM,73.28803,44.425336,82.987047168,83.41735629
7/15/2025 12:10:19 AM,73.19837534,44.373122,82.571248474,82.928049485
7/15/2025 12:10:24 AM,73.19204,44.36769,83.40810904,82.988646046
7/15/2025 12:10:29 AM,73.19204,44.382452,82.5255223844,82.6624449308
7/15/2025 12:10:34 AM,73.19204,44.438456,83.1040242888,82.8800146744
7/15/2025 12:10:39 AM,73.19204,44.407414,83.35655068,83.2218680544
7/15/2025 12:10:44 AM,73.19204,44.37,82.873812688,83.2682007496
7/15/2025 12:10:49 AM,73.185257882,44.26761,83.143272672,82.9032767836
7/15/2025 12:10:54 AM,73.13995,44.238478,83.5247510664,83.1182746568
7/15/2025 12:10:59 AM,73.13995,44.229928,82.4458190192,83.321562456
7/15/2025 12:11:04 AM,73.13995,44.185976,83.369698812,82.8454825684
7/15/2025 12:11:09 AM,73.13995,44.233558,83.421007552,82.467220676
7/15/2025 12:11:14 AM,73.13995,44.249556,83.022057088,82.752542368
7/15/2025 12:11:19 AM,73.0749615544,44.29947,82.90836964,82.6387356576
