Timestamp,still01-steam-pid.SP => (Aggregate=TimeAverage2),still01-steam-pid.PV01-TIT4016 => (Aggregate=TimeAverage2),still01-steam-pid.PV03-TIT4009 => (Aggregate=TimeAverage2),still01-steam-pid.DV02-PIT4011 => (Aggregate=TimeAverage2),still01-steam-pid.DV04-FIT4054 => (Aggregate=TimeAverage2),still01-steam-pid.CV-FCV4054 => (Aggregate=TimeAverage2)
7/15/2025 12:37:21 AM,211.2,211.18212125,198.54817,0.76227605,5336.1655461,38
7/15/2025 12:37:23 AM,211.2,211.19334,198.5291075,0.84133863534,5352.05751855,38
7/15/2025 12:37:25 AM,211.2,211.19334,198.51767,0.85141087,5357.088834,38
7/15/2025 12:37:27 AM,211.2,211.26591536,198.51767,0.85141087,5344.0390842,38
7/15/2025 12:37:29 AM,211.2,211.3015,198.51767,0.85141087,5330.18272805,38
7/15/2025 12:37:31 AM,211.2,211.3015,198.5564528,0.85141087,5325.23877085,38
7/15/2025 12:37:33 AM,211.2,211.3015,198.58151,0.85141087,5323.3889273,38
7/15/2025 12:37:35 AM,211.2,211.3015,198.58151,0.85141087,5321.046757,38
7/15/2025 12:37:37 AM,211.2,211.3015,198.58151,0.85141087,5318.6917847,38
7/15/2025 12:37:39 AM,211.2,211.3015,198.58151,0.85141087,5318.296914,38
7/15/2025 12:37:41 AM,211.2,211.54283977,198.58151,0.85141087,5326.54378215,38
7/15/2025 12:37:43 AM,211.2,211.66144,198.58151,0.85141087,5315.8303084,38
7/15/2025 12:37:45 AM,211.2,211.66144,198.66413309,0.85141087,5304.96847775,38
7/15/2025 12:37:47 AM,211.2,211.66144,198.71933,0.85141087,5308.1744685,38
7/15/2025 12:37:49 AM,211.2,211.66144,198.71933,0.85141087,5314.300996,38
7/15/2025 12:37:51 AM,211.2,211.66144,198.71933,0.85141087,5315.52948,38
7/15/2025 12:37:53 AM,211.2,211.66144,198.71933,0.85141087,5318.866665,38
7/15/2025 12:37:55 AM,211.2,211.829763315,198.71933,0.85141087,5327.6058425,37.9215
7/15/2025 12:37:57 AM,211.2,211.91513,198.71933,0.85141087,5320.7763558,37
7/15/2025 12:37:59 AM,211.2,211.91513,198.71933,0.85141087,5305.1299011,37
7/15/2025 12:38:01 AM,211.2,211.91513,198.71933,0.882798063285,5243.7312915,37
7/15/2025 12:38:03 AM,211.2,212.047080125,198.71933,0.88722056,5136.53709085,37
7/15/2025 12:38:05 AM,211.2,212.1143,198.71933,0.88722056,5067.65256095,37
7/15/2025 12:38:07 AM,211.2,212.1143,198.71933,0.88722056,5031.6130212,37
7/15/2025 12:38:09 AM,211.2,212.153020385,198.82885658,0.88722056,5019.7484152,37
7/15/2025 12:38:11 AM,211.2,212.17337,198.90752,0.88722056,4995.838868,37
7/15/2025 12:38:13 AM,211.2,212.177610875,198.90752,0.88722056,4974.7949063,37
7/15/2025 12:38:15 AM,211.2,212.17982,198.90752,0.88722056,4968.31296725,37
7/15/2025 12:38:17 AM,211.2,212.17982,198.94367968,0.88722056,4974.661881,37
7/15/2025 12:38:19 AM,211.2,212.17982,198.97008,0.88722056,4977.2676672,37
