Timestamp,still01-lwc-pid.CV01-fcv4032-% => (Aggregate=TimeAverage2),still01-lwc-pid.enabled => (Aggregate=StartBound),still01-lwc-pid.SP01-fcv4034.SP-temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV01-pit4012-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV02-tit52001.temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV03-pit52006-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV04-fit52101-gpm => (Aggregate=TimeAverage2),still01-lwc-pid.PV01-tit4033-prodtemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV02-tit4031-venttemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV03-tit4021-lwctemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV04-WeightedCalc-tempT_4021 => (Aggregate=TimeAverage2)
7/15/2025 5:06:13 AM,17,True,148,0.015960027,77.62153,43.007504566,789.63822504,82.06683,142.89647,172.8436,161.84256
7/15/2025 5:06:15 AM,17,True,148,0.015960027,77.62153,43.0248436455,784.3636734,82.06683,142.89647,172.8436,161.84256
7/15/2025 5:06:17 AM,17,True,148,0.015960027,77.62153,43.080105,782.92259544,81.9933132,142.89647,172.6921432,161.21214402
7/15/2025 5:06:19 AM,17,True,148,0.01763021115,77.62153,43.077147886,775.438744,81.97931,142.627401995,171.98305,161.2077
7/15/2025 5:06:21 AM,17,True,148,0.04936371,77.62153,43.068325975,775.86820935,81.97931,142.26854,171.98305,161.2077
7/15/2025 5:06:23 AM,17,True,148,0.04936371,77.62153,43.073124,780.8817792,81.97931,142.26854,171.96557906,161.2077
7/15/2025 5:06:25 AM,17,True,148,0.04936371,77.62153,43.0681466105,774.259228,81.97931,142.26854,171.881762345,161.0949242
7/15/2025 5:06:27 AM,17,True,148,0.04936371,77.62153,43.050953,775.58978974,82.00041922,142.05550592,171.880955635,161.0939
7/15/2025 5:06:29 AM,17,True,148,0.04936371,77.62153,43.050953,775.8235459,82.0045,141.70260625,171.90361,161.131134885
7/15/2025 5:06:31 AM,17,True,148,0.04936371,77.62153,43.0441579295,780.5000788,82.0045,141.61351,171.92628631,161.13153
7/15/2025 5:06:33 AM,17,True,148,0.04936371,77.62153,43.02055,772.494862105,82.0045,141.61351,172.03622,161.25397809
7/15/2025 5:06:35 AM,17,True,148,0.04936371,77.617480405,43.02055,775.09421226,82.0045,141.47310275,172.03622,161.34195237
7/15/2025 5:06:37 AM,17,True,148,0.04936371,77.59426,43.024263684,776.45060605,82.0045,141.26388468,172.03622,161.34296
7/15/2025 5:06:39 AM,17,True,148,0.05461261494,77.595565375,43.037354,774.9753576,82.09300165,141.26810064,172.1152106,161.34296
